,Campaign Title,Community Name,Ethereum Address,Staked Tokens,Share of Staked Tokens,PAN Donated,Donation Count,Fair Share Score from PAN Donations,Total Quarterly Fundraising,Recurring Event Attendance,Fair Share Score from Proof of Community,Coalition,Coalition Bonus,Leadership,Leadership Bonus,Fair Share Score,Fair Share,Utilized Fair Share Score,Utilized Fair Share,Subsidy Points,Matching Progress,,Share of Subsidy,Target Staking Share,Maximum Staking Total,Remaining PAN to Stake,"Estimated Subsidy
(PAN)","Estimated Funding
(PAN)","Estimated Funding
(USD)",Estimated Multiplier,Estimated Yield (APY)
,Dandelion Collective,Dandelion Collective,0x84a57c709482d44cE49511adac7ED7F1Db299455,"460,595.36",7.22%,153.19,4,14.38,"$25,000",50,"1,118.03",Regenerative Commons,169.86,Marketing & Events Committee,169.86,"1,472.14",7.0309%,"1,472.14",34.8180%,305.27,20.74%,,16.69%,34.8180%,"3,161,670.97","2,701,075.61","193,315.00","193,468.19","$20,053.37",1262.93x,140.18%
,Commons Stack Community Fund,Commons Stack,0x1251A94b6d800979d2d933b8Bd5914b892772Ac6,"436,581.60",6.84%,"7,541.61",29,217.80,,,11.18,Regenerative Commons,34.35,,0.00,263.33,1.2577%,263.33,6.2281%,263.33,100.00%,,14.40%,6.2281%,"394,712.75",0.00,"166,758.06","174,299.67","$18,066.51",23.11x,129.40%
,Gitcoin,Gitcoin,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,"366,528.26",5.75%,"3,625.19",82,260.91,,,11.18,Future of Work,40.81,Future of Work Coalition Leader,40.81,353.72,1.6894%,353.72,8.3660%,242.92,68.68%,,13.29%,8.3660%,"548,970.30","182,442.05","153,834.40","157,459.59","$16,321.00",43.43x,140.18%
,BrightID,BrightID,0x4B8810b079eb22ecF2D1f75E08E0AbbD6fD87dbF,"402,705.21",6.31%,"1,128.19",15,79.36,,,11.18,Digital Identity,13.58,,0.00,104.12,0.4973%,104.12,2.4625%,104.12,100.00%,,5.69%,2.4625%,"150,892.84",0.00,"65,933.28","67,061.47","$6,951.06",59.44x,60.65%
,DoinGud,DoinGud,0x31e7e4bB3Aa3A5Dd3AC5E240223eb4416CFFa5c3,"109,541.48",1.72%,"3,340.19",15,105.08,,,11.18,Crypto Art,17.44,,0.00,133.70,0.6386%,133.70,3.1622%,72.60,54.30%,,3.97%,3.1622%,"204,746.01","95,204.52","45,975.31","49,315.50","$5,111.65",14.76x,140.18%
,Peoples' Cooperative,Peoples' Cooperative,0xD120a3cb934694037a12E2F603d45Aa3aE77ABC3,"96,636.98",1.51%,"4,780.19",48,284.36,$700,45,177.48,,0.00,,0.00,461.84,2.2058%,314.94,7.4488%,64.05,13.87%,,3.50%,10.5564%,"741,520.75","644,883.76","40,559.20","45,339.39","$4,699.52",9.48x,140.18%
,Rotki,Rotki,0x9531C059098e3d194fF87FebB587aB07B30B1306,"78,144.32",1.22%,872.19,16,70.00,,,11.18,,0.00,,0.00,81.18,0.3877%,81.18,1.9200%,51.79,63.80%,,2.83%,1.9200%,"123,352.39","45,208.07","32,797.70","33,669.89","$3,489.95",38.60x,140.18%
,Jovian Network,Jovian Network,0x6Aa875452a622C25AFd05064138faFc14E715BeF,"66,619.26",1.04%,28.19,2,4.72,"$10,000",12,346.41,Women-Led Web3,52.67,Membership Committee,52.67,456.47,2.1801%,216.14,5.1120%,44.15,9.67%,,2.41%,10.2155%,"718,265.22","651,645.96","27,960.55","27,988.74","$2,901.09",992.86x,140.18%
,Meta Gamma Delta,Meta Gamma Delta,0x5b6BCdbB5278616F818775B9A20F220262Fd6E9B,"61,879.85",0.97%,583.19,9,44.01,,,11.18,Women-Led Web3,8.28,,0.00,63.47,0.3031%,63.47,1.5011%,41.01,64.62%,,2.24%,1.5011%,"96,280.55","34,400.70","25,971.39","26,554.58","$2,752.44",45.53x,140.18%
,Bloom Network,Bloom Network,0xF64bBc221f89cc882fBa507908bbE4Ae3Ad2F470,"59,709.17",0.94%,"1,198.19",15,77.27,,,11.18,Regenerative Commons,13.27,,0.00,101.72,0.4858%,101.72,2.4057%,39.57,38.91%,,2.16%,2.4057%,"155,785.00","96,075.84","25,060.34","26,258.53","$2,721.75",21.92x,140.18%
,Women of Crypto Art (WOCA),Women of Crypto Art,0xCCa88b952976DA313Fb928111f2D5c390eE0D723,"149,157.82",2.34%,288.19,5,21.08,,,11.18,Crypto Art,4.84,,0.00,37.10,0.1772%,37.10,0.8775%,37.10,100.00%,,2.03%,0.8775%,"55,158.23",0.00,"23,496.50","23,784.69","$2,465.33",82.53x,58.51%
,KERNEL,KERNEL,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,"256,197.47",4.02%,230.19,6,21.47,,,11.18,,0.00,,0.00,32.65,0.1559%,32.65,0.7723%,32.65,100.00%,,1.79%,0.7723%,"47,655.96",0.00,"20,677.46","20,907.65","$2,167.12",90.83x,31.05%
,Handshake Development Fund,Handshake Development Fund,0xd25A803E24FFd3C0033547BE04D8C43FFBa7486b,"183,385.22",2.87%,128.19,3,11.16,,,11.18,Digital Identity,3.35,,0.00,25.69,0.1227%,25.69,0.6077%,25.69,100.00%,,1.41%,0.6077%,"37,882.14",0.00,"16,270.49","16,398.68","$1,699.76",127.92x,34.00%
,Shenanigan,Shenanigan,0x5A9CE898f0B03c5A3Cd2d0c727efdD0555C86f81,"38,489.15",0.60%,373.19,4,20.96,$0,20,44.72,,0.00,,0.00,65.68,0.3137%,65.68,1.5535%,25.51,38.84%,,1.40%,1.5535%,"100,064.01","61,574.85","16,154.16","16,527.35","$1,713.09",44.29x,140.18%
