,Campaign Title,Community Name,Ethereum Address,Layer 2 Preference,Layer 2 Address,Primary Donation Method,Donation URL
,Abridged,Abridged,0x0efE994201e2b0136DD40D5033b5F437e4c5F958,,,Gitcoin,https://gitcoin.co/grants/274/abridged
,Akasha ,Akasha Hub Barcelona,0x842b87e0f5dd45ab5ff972b4d71f238ffad8ad3d,,,,https://gitcoin.co/grants/368/akasha-hub-barcelona
,Austin Meetups Fund,Austin Meetups Fund,,xDai,0x07294360e0bb89eBbE3542c478A8d1F6840ee2eE,Gitcoin,
,Blockchain Education Network,Blockchain Education Network,0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,Matic,0x66Aa8Bee5366b6b48811AE0Dac9Fe5e1EEfE1621,Gitcoin,https://gitcoin.co/grants/49/blockchain-education-network
,Bloom Network,Bloom Network,0xF64bBc221f89cc882fBa507908bbE4Ae3Ad2F470,,,Gitcoin,https://gitcoin.co/grants/1595/bloom-network-panvala-league
,BrightID,BrightID,0x4B8810b079eb22ecF2D1f75E08E0AbbD6fD87dbF,IDChain,0xf848a2741682e498a6a620e27d768c28c4216cd5,Gitcoin,https://gitcoin.co/grants/191/brightid-universal-proof-of-uniqueness-panvala-le
,Circles UBI,Circles UBI,0x7415EfD9D908281ea0279c49A6c23011D9d9A0a4,,,Gitcoin,https://gitcoin.co/grants/331/circles-ubi
,Civichub ,Civichub,0x97Fb4845bf7bD7156B30ef09AE94419956FE3A90,,,,https://giveth.io/project/alumnos-de-civichub
,Commons Stack Community Fund,Commons Stack,0x1251A94b6d800979d2d933b8Bd5914b892772Ac6,xDai,0x1251A94b6d800979d2d933b8Bd5914b892772Ac6,Gitcoin,https://gitcoin.co/grants/1127/commons-stack-community-fund-panvala-league
,Dandelion Collective,Dandelion Collective,0x84a57c709482d44cE49511adac7ED7F1Db299455,,,Other,"https://psychedelicsociety.org.uk/become-a-member
https://gitcoin.co/grants/564/dandelion"
,DAOhaus,DAOhaus,,,,,
,DAOSquare,DAOSquare,0x9ac9c636404C8d46D9eb966d7179983Ba5a3941A,,,Gitcoin,https://gitcoin.co/grants/482/daosquare-3
,DAppNode,DAppNode,0x00CF36853AA4024fb5BF5cc377dfd85844B411a0,,,Gitcoin,https://gitcoin.co/grants/143/dappnode-panvala-league
,DeFi Safety,DeFi Safety,0xe7E2E1de02CDc8dC307eA4CD237C0a24CF52f2AA,,,Gitcoin,https://gitcoin.co/grants/1041/defi-safety
,DePo DAO,DePo DAO,0x3792acDf2A8658FBaDe0ea70C47b89cB7777A5a5,,,Gitcoin,https://gitcoin.co/grants/484/depo-dao-decentralized-politics-dao-panvala-leagu
,DoinGud,DoinGud,0x31e7e4bB3Aa3A5Dd3AC5E240223eb4416CFFa5c3,,,Gitcoin,https://gitcoin.co/grants/2213/doingud-social-impact-market-place
,DXdao's DeFi Community Awards,DXdao,0x466621C1771590c4ECc5314eB3055adAFd980d52,,,Gitcoin,https://gitcoin.co/grants/1118/dxdaos-panvala-league-defi-community-awards-grant
,EthCC by Ethereum France,Ethereum France,0x04A8A22e5eF364c5237Df13317c4F083f32C2Cc4,,,Gitcoin,https://gitcoin.co/grants/1577/ethcc-by-ethereum-france-panvala-league
,ethers.js ,ethers.js,0x8ba1f109551bD432803012645Ac136ddd64DBA72,,,,https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny
,FightPandemics,FightPandemics,0x78F3c73F5500335aAC51E4c2A79555D176b279da,,,Gitcoin,https://gitcoin.co/grants/668/fightpandemics
,future modern,future modern,0x5ab45FB874701d910140e58EA62518566709c408,xDai,0x5ab45FB874701d910140e58EA62518566709c408,Gitcoin,https://gitcoin.co/grants/982/future-modern-panvala-league
,Gitcoin,Gitcoin,0xde21F729137C5Af1b01d73aF1dC21eFfa2B8a0d6,,,,https://gitcoin.co/grants/86/gitcoin-grants-round-9-dev-fund
,Giveth,Giveth,0x90dfc35e747ffcf9631ce75348f99632528e1704,xDai,,Gitcoin,https://gitcoin.co/grants/795/givethio-panvala-league
,Grassroots Economics,Grassroots Economics,0xba0FEE8490118FC4f46Bd0974D7BF93d0e2f1064,,,Gitcoin,https://gitcoin.co/grants/816/grassroots-economics-cic-support-kenya-beyond-pan
,Barrio to the Blockchain ,Guerrilla Music,0x97b8fdfACf37dd68376198b7FCFFeC3c0846f593,,,,https://gitcoin.co/grants/2602/barrio-to-the-blockchain
,Handshake Development Fund,Handshake Development Fund,0xd25A803E24FFd3C0033547BE04D8C43FFBa7486b,,,Gitcoin,https://gitcoin.co/grants/1428/handshake-development-fund-panvala-league
,Hashing it Out's Community Fund,Hashing it Out,0x05dF81Bf098Ae29AfAd54250Cd224379eDCae850,xDai,0xe027688a57c4A6Fb2708343cF330aaeB8fe594bb,Gitcoin,https://gitcoin.co/grants/1278/hashing-it-outs-community-fund-panvala-league
,Jovian Network,Jovian Network,0x6Aa875452a622C25AFd05064138faFc14E715BeF,,,,https://gitcoin.co/grants/2959/jovian-network-community-activism-research-making
,KERNEL,KERNEL,0x7DAC9Fc15C1Db4379D75A6E3f330aE849dFfcE18,,,Gitcoin,https://gitcoin.co/grants/855/kernel-block-ii-panvala-league
,Kolektivo Labs,Kolektivo Labs,0xe64e9187d513b455732fd63FD1398ecd1925A03E,,,Gitcoin,https://gitcoin.co/grants/1325/kolektivo-regenerative-economy-in-curacao
