,Community,Community Name,Ethereum Address,Staked Tokens,Capacity (Share of Staked Tokens),PAN Donated,Donation Count,Quadratic Funding,Share of Quadratic Funding,Utilization (Share of QF / Capacity),Capacity Overflow,,Utilization After Overflow,Subsidy Points,Share of Subsidy,"Estimated Subsidy
(PAN)","Estimated Funding
(PAN)","Estimated Funding
(USD)",Estimated Multiplier,Estimated Yield (APY),Share of Donations When All Fully Stake,"Fully Staked Subsidy
(PAN)","Fully Staked Funding
(PAN)","Fully Staked Funding
(USD)",Fully Staked Multiplier,"Prorated Subsidy
(PAN)","Prorated Funding
(PAN)",Prorated Multiplier
,Commons Stack Community Fund,Commons Stack,0x1251A94b6d800979d2d933b8Bd5914b892772Ac6,"2,626,436.58",36.42%,"45,384.84",56,"1,021.43",15.2913%,41.99%,0.00%,,41.99%,"1,021.43",26.31%,"300,703.67","346,088.51","$23,623.66",7.63x,43.36%,15.29%,"174,793.29","220,178.13","$15,029.14",4.85x,"174,793.29","220,178.13",4.85x
,DAppNode,DAppNode,0x00CF36853AA4024fb5BF5cc377dfd85844B411a0,"1,000,919.08",13.88%,"27,486.86",29,532.77,7.9759%,57.47%,0.00%,,57.47%,532.77,13.72%,"156,845.37","184,332.23","$12,582.33",6.71x,58.23%,7.98%,"91,171.21","118,658.07","$8,099.48",4.32x,"91,171.21","118,658.07",4.32x
,KERNEL,KERNEL,0xC728DEa8B2972E6e07493BE8DC2F0314F7dC3E98,"681,774.08",9.45%,"10,771.55",17,295.55,4.4245%,46.80%,0.00%,,46.80%,295.55,7.61%,"87,007.27","97,778.83","$6,674.28",9.08x,48.04%,4.42%,"50,575.66","61,347.22","$4,187.50",5.70x,"50,575.66","61,347.22",5.70x
,BrightID,BrightID,0x4B8810b079eb22ecF2D1f75E08E0AbbD6fD87dbF,"345,985.81",4.80%,"4,607.39",27,306.84,4.5935%,95.74%,0.00%,,95.74%,306.84,7.90%,"90,331.39","94,938.78","$6,480.43",20.61x,92.79%,4.59%,"52,507.91","57,115.30","$3,898.63",12.40x,"52,507.91","57,115.30",12.40x
,MetaCartel Community Awards,MetaCartel,0xD91ec22114897E5E68997F77a6182dE3Cb09ba9B,"448,722.91",6.22%,"8,359.62",17,250.82,3.7550%,60.35%,0.00%,,60.35%,250.82,6.46%,"73,841.31","82,200.93","$5,610.95",9.83x,60.94%,3.75%,"42,922.54","51,282.16","$3,500.47",6.13x,"42,922.54","51,282.16",6.13x
,Matic Mitra,Matic Mitra,0xd9D66f6eB790c82A1e98CDa99C153983461A3725,"127,777.60",1.77%,"3,145.28",52,393.39,5.8893%,332.38%,232.38%,⇧,182.31%,215.78,5.56%,"63,524.24","66,669.52","$4,550.79",21.20x,161.42%,5.89%,"67,319.56","70,464.84","$4,809.86",22.40x,"67,319.56","70,464.84",22.40x
,WhalerDAO,WhalerDAO,0x0e3655263D2db2C7ece965557d3889be0716c48b,"133,217.27",1.85%,"4,884.71",21,267.18,3.9998%,216.52%,116.52%,⇧,147.15%,181.57,4.68%,"53,453.93","58,338.64","$3,982.14",11.94x,134.95%,4.00%,"45,721.01","50,605.72","$3,454.30",10.36x,"45,721.01","50,605.72",10.36x
,future modern,future modern,0x5ab45FB874701d910140e58EA62518566709c408,"86,291.79",1.20%,"8,274.28",8,212.06,3.1747%,265.31%,165.31%,⇧,162.88%,130.19,3.35%,"38,328.07","46,602.35","$3,181.03",5.63x,147.01%,3.17%,"36,289.55","44,563.83","$3,041.88",5.39x,"36,289.55","44,563.83",5.39x
,MetaSpace,MetaSpace,0x58315fB2b6E94371679fFb4b3322ab32f3dc7311,"143,678.09",1.99%,"2,575.50",11,150.18,2.2483%,112.85%,12.85%,⇧,106.23%,141.38,3.64%,"41,620.48","44,195.98","$3,016.77",17.16x,101.76%,2.25%,"25,700.44","28,275.94","$1,930.09",10.98x,"25,700.44","28,275.94",10.98x
,DXdao's DeFi Community Awards,DXdao,0x466621C1771590c4ECc5314eB3055adAFd980d52,"168,606.73",2.34%,"2,120.50",11,133.79,2.0029%,85.67%,0.00%,,85.67%,133.79,3.45%,"39,386.65","41,507.15","$2,833.24",19.57x,83.97%,2.00%,"22,894.70","25,015.20","$1,707.51",11.80x,"22,894.70","25,015.20",11.80x
